id,行为主体,行为分类,行为描述,信息来源
1,绿尾虹雉,取食行为,在笼养条件下，由于没有被捕食压力和食物压力，表现出较多静栖行为，这与笼养条件下的大紫胸鹦鹉（杨晓君，杨岚，１９９８）、白尾梢虹雉（罗旭等，２００２）、勺鸡（周天林，韩芬茹，２００２）、灰胸竹鸡（韩庆等，２００７）等的研究结果一致,笼养绿尾虹雉繁殖季节的日行为节律和时间分配.txt
2,鹅喉羚,繁殖行为,鹅喉羚的求偶交配过程可分为 ３个阶段，第一阶段为试探接近阶段，若雌羚已作好交配准备，则进入第二阶段，雄羚以直立行走或碎步行走接近雌羚，第三阶段为爬跨交配阶段,鹅喉羚的求偶交配行为.txt
3,鹅喉羚,繁殖行为,鹅喉羚的交配模式属于 Ｄｅｗｓｂｕｒｙ交配行为模式分类系统的第 １３类和 Ｄｉｘｓｏｎ分类系统的第 １４类,鹅喉羚的求偶交配行为.txt
4,鹅喉羚,繁殖行为,鹅喉羚成功交配后，并不存在个体配偶看护，而是通过守卫领域以提高总体配偶看护水平,鹅喉羚的求偶交配行为.txt
5,鹅喉羚,繁殖行为,本文通过野外交配期各种行为，用某种行为发生的总次数除以总观察鹅喉羚完整的发情交配期行为，尝试解决以下３个问题：（１）建立鹅喉羚发情交配期雄性行为谱；（２）描述鹅喉羚交配模式，并对其交配模式进行系统分类；（３）通过量化对比不同发情期鹅喉羚行为，揭示不同发情阶段雄羚特征行为的变化,鹅喉羚的求偶交配行为.txt
6,鹅喉羚,繁殖行为,借鉴 鹅 喉 羚 阿 拉 伯 亚 种 的 发 情 期 行 为 研 究（Ｂｌａｎｋ，１９９８）以及 ２００８年预观察结果，将鹅喉羚的发情期划分为两个阶段：第一阶段雄羚开始占有领域，它们白昼呆在领域内，夜晚则跟随最后一批经过领域的雌羚回到休息区域，该阶段从 １１月初至 １２月初，大约持续一个月时间，这里将该阶段定义为准备期；第二阶段紧随第一阶段出现，从作者第一次观察到交配行为时开始，该阶段持续时间较短，仅 １０天左右，大部分交配行为都集中于该期出现，为鹅喉羚求偶交配行为的高峰期,鹅喉羚的求偶交配行为.txt
7,鹅喉羚,繁殖行为,近年来由于保护区内石油、煤炭开发和国道 ２１６线重修以及借鉴以往羚羊类物种发情交配行为研究结果（Ｂｌａｎｋ，１９９８；游章强，蒋志刚，２００５），将鹅喉羚求偶交配行为分为以下 ４大类型：领域行为、冲突行为、一级路面，使原为半封闭的保护区呈现开放状态（葛炎等，２００３）,鹅喉羚的求偶交配行为.txt
8,鹅喉羚,占域行为,领域标记：ａ）排泄物标记：雄羚在领域边缘用前蹄刨坑，然后将尿液与粪便排入坑内；ｂ）角标记：用角在灌木上摩擦进行标记；ｃ）眼腺标记：用眼腺体分音，记录观察时间段内目标动物的各种求偶交配行泌物在灌木上标记,鹅喉羚的求偶交配行为.txt
9,鹅喉羚,繁殖行为,如果雌羚成功活动，同时观察雌羚的反应，如果此时雌羚已经发地穿过该领域，雄羚通常不会立即停止对雌羚的追情，则双方进行交配,鹅喉羚的求偶交配行为.txt
10,鹅喉羚,繁殖行为,领域雄羚竭力将雌羚长时间留在领域内，以增加交配机会，该行为称为圈雌,鹅喉羚的求偶交配行为.txt
